Estado,Titulo,URL,Fecha termino,Subítem,ítem principal
Sin empezar,Pruebas,,,,Automatizacion Informe Claudia Diaz (https://www.notion.so/Automatizacion-Informe-Claudia-Diaz-18ab33a5a6f58088a3fdf811c718e6a3?pvs=21)
En curso,Conciencia ONNET,jon-arr.github.io/onnet/,,"Crear proyecto (https://www.notion.so/Crear-proyecto-18ab33a5a6f58024bc87e9416acddf95?pvs=21), Pruebas (https://www.notion.so/Pruebas-18ab33a5a6f58081acf5c73e1e628adb?pvs=21), Github (https://www.notion.so/Github-18ab33a5a6f580b0af01f4b60465d29c?pvs=21)",
En curso,Ticket SI-NO,,,"Crear proyecto (https://www.notion.so/Crear-proyecto-18ab33a5a6f580239b17c35b451db988?pvs=21), Pruebas (https://www.notion.so/Pruebas-18ab33a5a6f58072a66bc9a7dc0312b2?pvs=21), Github (https://www.notion.so/Github-18ab33a5a6f580d1b2fef1a57679b883?pvs=21)",
En curso,Automatizacion Informe Claudia Diaz,,3 de febrero de 2025,"Crear proyecto (https://www.notion.so/Crear-proyecto-18ab33a5a6f58071ae10c34f35c60d4e?pvs=21), Pruebas (https://www.notion.so/Pruebas-18ab33a5a6f58083931cf1cf61f299f3?pvs=21), Subir a github (https://www.notion.so/Subir-a-github-18ab33a5a6f5805e8870c3e17bfe46e4?pvs=21)",
Sin empezar,Crear proyecto,,,,Automatizacion Informe Claudia Diaz (https://www.notion.so/Automatizacion-Informe-Claudia-Diaz-18ab33a5a6f58088a3fdf811c718e6a3?pvs=21)
Sin empezar,Subir a github,,,,Automatizacion Informe Claudia Diaz (https://www.notion.so/Automatizacion-Informe-Claudia-Diaz-18ab33a5a6f58088a3fdf811c718e6a3?pvs=21)
Listo,Crear proyecto,,,,Conciencia ONNET (https://www.notion.so/Conciencia-ONNET-18ab33a5a6f580578b7fff818a893552?pvs=21)
En curso,Pruebas,,,,Conciencia ONNET (https://www.notion.so/Conciencia-ONNET-18ab33a5a6f580578b7fff818a893552?pvs=21)
Listo,Github,,,,Conciencia ONNET (https://www.notion.so/Conciencia-ONNET-18ab33a5a6f580578b7fff818a893552?pvs=21)
En curso,Crear proyecto,,,,Ticket SI-NO (https://www.notion.so/Ticket-SI-NO-18ab33a5a6f580e0afecd02a4db3174d?pvs=21)
En curso,Pruebas,,,,Ticket SI-NO (https://www.notion.so/Ticket-SI-NO-18ab33a5a6f580e0afecd02a4db3174d?pvs=21)
Listo,Github,,,,Ticket SI-NO (https://www.notion.so/Ticket-SI-NO-18ab33a5a6f580e0afecd02a4db3174d?pvs=21)
En curso,Automatizacion Informe Quincenal,,14 de febrero de 2025,"Agregacion automatica de datos de usuarios (ultimas columnas) (https://www.notion.so/Agregacion-automatica-de-datos-de-usuarios-ultimas-columnas-198b33a5a6f5808f81f8dd4eefad7f5b?pvs=21), Automatizacion tablas dinamicas (primera hoja) (https://www.notion.so/Automatizacion-tablas-dinamicas-primera-hoja-198b33a5a6f5808a8fa3c00c8a85ca7a?pvs=21)",
Listo,MARED,https://jon-arr.github.io/mared/,,,
Sin empezar,Automatizacion tablas dinamicas (primera hoja),,,,Automatizacion Informe Quincenal (https://www.notion.so/Automatizacion-Informe-Quincenal-18ab33a5a6f58071a1e7c7b203aa396b?pvs=21)
Sin empezar,Agregacion automatica de datos de usuarios (ultimas columnas),,,,Automatizacion Informe Quincenal (https://www.notion.so/Automatizacion-Informe-Quincenal-18ab33a5a6f58071a1e7c7b203aa396b?pvs=21)
